  Title : 700nm1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2020-11-16
  Time : 17:27:24
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
5.374700 50
5.380808 62
5.386916 69
5.393023 69
5.399131 58
5.405238 58
5.411346 61
5.417454 73
5.423561 56
5.429669 62
5.435776 61
5.441884 65
5.447992 56
5.454099 50
5.460207 51
5.466315 47
5.472422 49
5.478530 53
5.484637 62
5.490745 49
5.496853 44
5.502960 51
5.509068 56
5.515175 56
5.521283 44
5.527391 53
5.533498 33
5.539606 57
5.545713 51
5.551821 44
5.557929 40
5.564036 46
5.570144 36
5.576252 30
5.582359 49
5.588467 39
5.594574 40
5.600682 42
5.606790 38
5.612897 40
5.619005 29
5.625112 32
5.631220 40
5.637328 29
5.643435 29
5.649543 31
5.655651 37
5.661758 38
5.667866 27
5.673973 22
5.680081 30
5.686189 33
5.692296 33
5.698404 22
5.704511 23
5.710619 30
5.716727 26
5.722834 37
5.728942 27
5.735050 26
5.741157 26
5.747265 28
5.753372 23
5.759480 28
5.765588 34
5.771695 19
5.777803 28
5.783910 28
5.790018 27
5.796126 15
5.802233 26
5.808341 19
5.814449 23
5.820556 21
5.826664 25
5.832771 29
5.838879 17
5.844987 15
5.851094 23
5.857202 14
5.863309 18
5.869417 19
5.875525 18
5.881632 18
5.887740 22
5.893847 18
5.899955 18
5.906063 20
5.912170 16
5.918278 18
5.924386 21
5.930493 15
5.936601 15
5.942708 11
5.948816 13
5.954924 11
5.961031 19
5.967139 10
5.973246 21
5.979354 12
5.985462 12
5.991569 7
5.997677 9
6.003785 10
6.009892 12
6.016000 10
6.022107 11
6.028215 11
6.034323 17
6.040430 13
6.046538 13
6.052645 11
6.058753 10
6.064861 13
6.070968 15
6.077076 11
6.083184 10
6.089291 13
6.095399 8
6.101506 19
6.107614 14
6.113722 13
6.119829 13
6.125937 12
6.132044 15
6.138152 10
6.144260 17
6.150367 8
6.156475 10
6.162583 12
6.168690 9
6.174798 9
6.180905 16
6.187013 14
6.193121 9
6.199228 10
6.205336 11
6.211443 9
6.217551 12
6.223659 3
6.229766 6
6.235874 11
6.241981 8
6.248089 10
6.254197 9
6.260304 8
6.266412 9
6.272520 7
6.278627 6
6.284735 9
6.290842 9
6.296950 9
6.303058 1
6.309165 10
6.315273 7
6.321380 5
6.327488 11
6.333596 9
6.339703 9
6.345811 6
6.351919 5
6.358026 9
6.364134 13
6.370241 7
6.376349 8
6.382457 2
6.388564 8
6.394672 5
6.400779 6
6.406887 8
6.412995 8
6.419102 3
6.425210 6
6.431318 12
6.437425 7
6.443533 7
6.449640 6
6.455748 9
6.461856 5
6.467963 9
6.474071 6
6.480178 6
6.486286 4
6.492394 7
6.498501 8
6.504609 2
6.510717 5
6.516824 3
6.522932 5
6.529039 9
6.535147 5
6.541255 7
6.547362 1
6.553470 6
6.559577 5
6.565685 4
6.571793 2
6.577900 5
6.584008 5
6.590115 6
6.596223 9
6.602331 6
6.608438 6
6.614546 6
6.620654 6
6.626761 6
6.632869 6
6.638976 3
6.645084 1
6.651192 7
6.657299 6
6.663407 2
6.669514 6
6.675622 5
6.681730 4
6.687837 3
6.693945 3
6.700053 3
6.706160 6
6.712268 8
6.718375 6
6.724483 1
6.730591 6
6.736698 3
6.742806 6
6.748913 4
6.755021 5
6.761129 6
6.767236 2
6.773344 7
6.779452 7
6.785559 5
6.791667 5
6.797774 7
6.803882 6
6.809990 0
6.816097 5
6.822205 3
6.828312 3
6.834420 3
6.840528 2
6.846635 3
6.852743 6
6.858851 9
6.864958 5
6.871066 2
6.877173 6
6.883281 7
6.889389 3
6.895496 4
6.901604 0
6.907711 3
6.913819 4
6.919927 2
6.926034 7
6.932142 3
6.938249 4
6.944357 3
6.950465 5
6.956572 2
6.962680 6
6.968788 8
6.974895 6
6.981003 3
6.987110 4
6.993218 2
6.999326 3
7.005433 2
7.011541 6
7.017648 1
7.023756 2
7.029864 2
7.035971 7
7.042079 5
7.048187 5
7.054294 7
7.060402 4
7.066509 3
7.072617 4
7.078725 9
7.084832 4
7.090940 2
7.097047 6
7.103155 3
7.109263 5
7.115370 2
7.121478 7
7.127586 4
7.133693 2
7.139801 9
7.145908 2
7.152016 5
7.158124 6
